1061 	 I just had a breast biopsy for cancer. What are the most common types of breast cancer? 
1062 	 Once it breaks out, how likely is lobular carcinoma breast cancer to spread? 
1063 	 How deadly is lobular carcinoma in situ? 
1064 	 What? No, I want to know about the deadliness of lobular carcinoma in situ. 
1065 	 Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? 
1066 	 How does LCIS behave differently from PLCIS? 
1067 	 What makes lobular cancer distinct? 
1068 	 For the first stage, what are the alternatives to surgery for invasive lobular cancer? 
1069 	 No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer. 
10610 	 Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer? 
1071 	 How do I build a cheap driveway? 
1072 	 Which is cheaper way to build a driveway: concrete or asphalt? 
1073 	 What type of de-icing product can damage concrete driveways? 
1074 	 Which type of driveway is more environmentally friendly? 
1075 	 No. Which type of driveway is better for the environment? 
1076 	 Which type of driveway is the most low-maintenance? 
1077 	 Really? How long does an asphalt driveway last? 
1078 	 Is sealing an asphalt driveway worth it? 
1081 	 How can fires help an ecosystem? 
1082 	 Give me some examples of organisms that have adapted to exploit natural wildfire. 
1083 	 Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? 
1084 	 Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? 
1085 	 Can agriculture cause desertification? 
1086 	 What does it mean for soil to be tired? 
1087 	 Permaculture sounds like organic farming, how are they related? 
1088 	 Does organic farming reduce global warming, and if so, how? 
1091 	 Why do cats eat plastic? 
1092 	 Will eating plastic kill a cat? 
1093 	 What?  No. Will eating plastic kill my cat? 
1094 	 How do I get a cat to stop eating plastic? 
1095 	 Should I get a second cat to ease my cat’s boredom or loneliness? 
1096 	 What are my cat’s desires? 
1097 	 What does a cat’s slow blink mean? 
1101 	 What are the benefits of cow milk? 
1102 	 What about an alternative. How is milk made from almonds? 
1103 	 Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? 
1104 	 No, the vegan ones. Which of the vegan alternative milk options is healthiest? 
1105 	 Can I make soy milk at home? 
1106 	 Oat seems popular now.  Why? 
1107 	 I’m going to bake some cookies. Which vegan milk is best for baking cookies? 
1108 	 Which vegan milk besides soy is best for baking? 
1109 	 What vegan milk is best in my morning latte? 
11010 	 I didn’t expect that. Really, hemp? Say more about hemp milk for coffee. 
1111 	 I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? 
1112 	 What is Hennessey Venom GT based on? 
1113 	 How fast can the unmodified base Lotus Elise/Exige go? 
1114 	 How fast can the Lotus Elise/Exige go? 
1115 	 Can any super car go over 300 mph? 
1116 	 What is the origin of funny cars? Why do they call them funny cars? 
1117 	 How fast did the first funny car go? 
1118 	 No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? 
1119 	 It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? 
11110 	 I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode. 
11111 	 Is the Tesla Roadster related to the other super cars, like the Hennessey Venom GT or Lotus Elise? 
1121 	 Utterance: What’s the history of steroid use in sports in the US? 
1122 	 Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? 
1123 	 Why are steroids banned in sports? 
1124 	 Are there visible signs that someone is using steroids? 
1125 	 That sounds easy to spot. How do athletes get away with using steroids? 
1126 	 What is the NFL policy about steroids? 
1127 	 Is Adderall Speed? 
1128 	 What is the difference between the NFL’s recreational drug and performance enhancing drug policies? 
1129 	 I heard it even affects card players. Didn't the game of bridge also have a problem with drug use? 
11210 	 I know what bridge is. I heard there was a drug scandal in bridge recently. 
11211 	 Tell me more about the suspension of Geir Helgemo for doping by the World Bridge Federation. 
1131 	 How do genes work? 
1132 	 What diseases besides sickle cell anemia are caused by single change in a gene? 
1133 	 What are the other types of human genetic diseases besides monogenic? 
1134 	 You missed the second type of genetic disease.  What was that? 
1135 	 That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? 
1136 	 What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? 
1137 	 No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? 
1138 	 It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? 
1139 	 I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? 
11310 	 What’s the difference between the CRISPR CRISPRi and CAS13b systems? 
11311 	 That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? 
11312 	 The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases? 
11313 	 What are the alternatives to CRISPR-CAS9 to avoid patent licensing issues? 
1141 	 I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? 
1142 	 How about my diet, what should I consider changing to increase my iron? 
1143 	 No, I meant what should I consider changing in my diet to help my ferritin levels specifically. 
1144 	 What is the difference between heme and non-heme iron? 
1145 	 I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? 
1146 	 I heard eating eggs might help improve my ferritin levels. 
1147 	 I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? 
1148 	 I’m starting to train for a marathon, what should I consider in my vegetarian diet? 
1149 	 No, I’m starting to train for a marathon, what is a one week vegetarian diet? 
1151 	 How are mental health disorders perceived and addressed around the world? 
1152 	 What are the causes of mental health stigma in Africa? 
1153 	 Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? 
1154 	 How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? 
1155 	 Okay. Now, what about the causes of mental health stigma in Asia? 
1156 	 Is there a relationship between Asian cultural values and mental illness? 
1157 	 Wow. Besides Asian cultural values, what other factors could cause stigmatization of mental illness in the region of Asia? 
1158 	 What about the causes of mental health stigmatisation in North America? 
1159 	 Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America? 
11510 	 I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere? 
11511 	 Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been? 
1161 	 How are literary devices used in Biblical poetry? 
1162 	 That's interesting. How is Christian poetry defined? 
1163 	 How did the existing traditions of Greek and Latin poetry affect Christian Poets? 
1164 	 That's interesting about Christianity. How are literary devices used in Islamic poetry? 
1165 	 Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry? 
1166 	 Why didn't Biblical poetry use rhymes as extensively as Arabic? 
1167 	 Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry? 
1168 	 Did Biblical poetry have a similar impact on other kinds of religious poetry? 
1171 	 A friend said there were massive protests in Nigeria towards the end of 2020. What happened? 
1172 	 Why was the Special Anti-Robbery Squad (SARS) established in the first place? 
1173 	 What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people? 
1174 	 How did the international community respond to the EndSars protests in Nigeria? 
1175 	 Okay, but I meant the international community's response to the EndSars protests. 
1176 	 Did international support from the US help with the EndSars movement? 
1177 	 My friend also mentioned that women were instrumental to the EndSars movement. What was their role? 
1178 	 That's cool. Tell me more about the Feminist Coalition. 
1179 	 There was mention of the protection of Black lives earlier. How are they related? 
11710 	 What role did women play in the BlackLivesMatter protests? 
1181 	 I like fashion and animals. What career options should I consider? 
1182 	 Becoming a fashion designer sounds interesting. What's the job outlook? 
1183 	 How can I get a fashion design degree? 
1184 	 Okay. What does the Bachelor of Fine Arts degree in fashion portfolio usually consist of? 
1185 	 What are the common entry requirements for a Bachelor of Fine Arts program? 
1186 	 I’ll consider those. How about my career options for my other interest in animals? 
1187 	 Not quite. I want to know about career opportunities related to animals. 
1188 	 How do I become a veterinarian? 
1189 	 What are the other steps to become a veterinarian? 
11810 	 I understand that licenses are required to work as a veterinarian in the US. Tell me more about that. 
11811 	 What about a way to combine my interests in fashion and animals? 
1191 	 My dog has been shaking and tilting its head a lot recently. What could be wrong? 
1192 	 I just checked my dog’s ears and there’s swelling in the outer portion. What could it be a symptom of? 
1193 	 How dangerous could the inflammation or canine ear hematoma in my dog’s ears be? 
1194 	 I live in a remote area. How can I treat my dog’s ear infection at home? 
1195 	 My cat is also having similar symptoms to my dog. Would the home remedy work for her as well? 
1196 	 Thanks. I am also worried that my pets are susceptible to the coronavirus. 
1197 	 Okay, but I also heard that a few animals have been reported to be infected with the coronavirus. 
1198 	 How can I protect my pets from the coronavirus? 
1199 	 Ok. But what about protecting my dog from the coronavirus? 
1201 	 Why did Michael Jackson go so far to alter his appearance? 
1202 	 What else was Michael Jackson’s vexed relationship to his skin about? 
1203 	 Okay. Did the Jacksons vegetarian diet help to fight their acne? 
1204 	 Never mind. Tell me more about the Pepsi commercial where Michael Jackson burned his skin. 
1205 	 How did Michael Jackson’s dependence on medicine lead to his death? 
1206 	 Okay. How did Michael Jackson’s skin conditions affect his art and legacy? 
1211 	 I remember there was a global coffee shortage some time ago. Can you tell me more about that? 
1212 	 What caused the drought in Brazil’s coffee belt region? 
1213 	 I also heard that other Latin American countries had coffee production issues. Was the disruption due to the drought widespread? 
1214 	 It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread? 
1215 	 Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help? 
1216 	 No, I want to know what the United States did to help with the coffee rust epidemic in Latin America. 
1217 	 Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic? 
1218 	 How did the drought in Brazil and the coffee rust disease in Latin America affect global coffee consumption? 
1219 	 That’s interesting, coffee consumption is not very elastic. Would investing in coffee make sense? 
1221 	 I heard Bernie Sanders was ill recently. What happened? 
1222 	 What did the doctors do to treat Bernie Sanders when he had a heart attack? 
1223 	 How did the heart attack affect Bernie Sanders’ presidential campaign? 
1224 	 How did Bernie Sanders attempt to regain the public's confidence after recovering from his heart attack? 
1225 	 Okay. What did Bernie Sanders’ health records released after his heart attack say? 
1226 	 Okay. I'd like to know more about Bernie Sanders' decision not to release his medical records after his heart attack. 
1227 	 What about the other Democratic presidential candidates, did they release their health records? 
1228 	 Should there be an age limit on the presidency of the United States? 
1231 	 I'm about to become a dad and I want to get fit before it gets too hard. How do I get started? 
1232 	 Okay. Should I try CrossFit to get fit? 
1233 	 That sounds very intense but useful to me. How does CrossFit compare with just weightlifting to get fit? 
1234 	 I would rather be safe. Do the positives of Crossfit outweigh the negatives? 
1235 	 I’ve got four weeks. What about cardio for getting fit? 
1236 	 Okay. What role will diet play in getting fit? 
1237 	 What other meal frequencies can I try to boost my metabolism? 
1238 	 Which one’s better between eating six meals a day and intermittent fasting? 
1239 	 Okay. I would eventually like to spend time with my baby while working out too. Do you have any ideas for that? 
1241 	 I just watched the Jurassic Park movie and I got interested in dinosaurs. Can you tell me about the time when dinosaurs actually existed? 
1242 	 Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs? 
1243 	 Can you tell me more about the fossil records and the theory of plate tectonics? 
1244 	 What was earth's landmass like during the Mesozoic era? 
1245 	 That's really cool. Could such a huge continent like Pangaea form again? 
1246 	 Okay. You mentioned three periods in the Mesosoic Era. What was characteristic about the Triassic Period? 
1247 	 What was characteristic about the Jurassic Period? 
1248 	 What was characteristic about the Cretaceous Period? 
1249 	 What happened to dinosaurs after the Cretaceous period ended? 
12410 	 How do the evolution of dinosaurs across the three periods in the Mesozoic era compare? 
12411 	 That's interesting. How scientifically accurate was the first Jurassic Park movie? 
1251 	 I’d like to learn more about frogs. What’s the biggest one? 
1252 	 What has been done to protect Goliath frogs? 
1253 	 Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective? 
1254 	 How can I help with protecting Goliath frogs? 
1255 	 What is the smallest frog? 
1256 	 Why would leaf litter affect the size of a frog? 
1261 	 I want to go on vacation somewhere in Europe with good food. What are some beautiful places? 
1262 	 Yes, it'll be my first time in Europe. Where should I consider visiting in Italy? 
1263 	 What should I not miss on the Amalfi Coast? 
1264 	 What food is the Amalfi known for? 
1265 	 What is the Duomo on the Amalfi Coast? 
1266 	 What were the technological innovations in Italian cathedrals or catholic churches (the Duomo)? 
1271 	 Why is it important to reduce runoff in urban areas? 
1272 	 What best management practices could I use at home to reduce runoff? 
1273 	 Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? 
1274 	 How much rainwater can I collect with a rain barrel? 
1275 	 What are the pros and cons of different rain barrel materials? 
1276 	 Is the collected water from a rain barrel safe enough to water my garden? 
1277 	 What else should I consider when installing a rain barrel? 
1278 	 You mentioned rain gardens earlier. How do they compare to rain barrels? 
1279 	 I’ll try the rain garden too. What are some native plants for the Seattle areas that I could use? 
1281 	 What’s the science behind why we drink alcohol? 
1282 	 What are the causes of alcoholism? 
1283 	 Who is at high risk for alcohol addiction? 
1284 	 What is a safe amount of alcohol to drink daily? 
1285 	 What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? 
1286 	 But I’ve heard that pregnant women in France drink wine with dinner. Is that true? 
1287 	 So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? 
1288 	 Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol? 
1289 	 I’d like to stop. What are some treatment options for alcoholism? 
12810 	 No, I meant drinking alcohol. What are some alcohol rehab treatment options to consider? 
1291 	 What are the mechanisms of depression? 
1292 	 What is the role of serotonin in depression? 
1293 	 How can I balance serotonin? 
1294 	 What foods boost dopamine? 
1295 	 How does the phenylalanine convert to tyrosine? 
1296 	 Can stimulant drugs alleviate depression? 
1297 	 Does the catecholamine theory explain the cause of depression? 
1298 	 Can a person have mania and depression at the same time? 
1299 	 No, I meant mania and depression. 
12910 	 What are the types of bipolar disorder? 
1301 	 Who are the greatest catchers of all time? 
1302 	 What was Johnny Bench known for?. 
1303 	 Who won the Johnny Bench Award? 
1304 	 Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? 
1305 	 Did Johnny Lee Bench make it into Cooperstown? 
1306 	 Was Johnny Bench married? 
1307 	 I’d like to know about Johnny Bench’s first two marriages. 
1308 	 Does Bobby Binger Bench play baseball? 
1309 	 Interesting. How old was Bobby Binger Bench when Johnny Bench and Laura Cwikowski got divorced? 
1311 	 I saw an online ad for a house with descriptions saying it has a heat pump. What is that? 
1312 	 What are some other choices besides a heat pump to heat my home? 
1313 	 What are the pros and cons between a gas furnace and a heat pump? 
1314 	 A heat pump seems very suitable for my house. How much does it cost to install one? 
1315 	 Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump? 
1316 	 How many years will it take to recoup the investment in a geothermal heat pump? 
1317 	 That’s great. What makes a geothermal heat pump so efficient? 
1318 	 Cool science. But I’ve heard some horror stories about air-source heat pumps. 
1319 	 Tell me about AC systems. 
13110 	 How is an AC system different from a heat pump? 
