81_1	How do you know when your garage door opener is going bad?
81_2	Now my garage door opener stopped working. Why?
81_3	How much does it cost for someone to repair a garage door opener?
81_4	How much does it cost to replace a garage door opener?
81_5	How do I choose a new garage door opener?
81_6	What does a smart garage door opener do?
81_7	What's important for me to know about the safety of smart garage door openers?
81_8	How could smart garage door openers be hacked?
82_1	I would like to learn about GMO Food labeling.
82_2	What are the pros and cons of GMO food labeling?
82_3	What are the cons of GMO food labeling?
82_4	What are the GMO food labeling rules in the EU?
82_5	Tell me about traceability tools for GMO foods in the EU.
82_6	What is the role of Co-Extra in GMO food traceability in the EU?
82_7	How is food tested for GMO contamination?
82_8	What's the difference between the European Union and United States approaches to testing for GMO food contamination?
82_9	How does the DNA-based method work for testing GMO contamination.
82_10	How could Co-Extra improve DNA-based testing for GMO contamination?
83_1	What are some interesting facts about bees?
83_2	Why doesn't honey spoil?
83_3	Why are so many bees dying?
83_4	What can be done to stop bees from dying?
83_5	What has happened to bee habitat?
83_6	What can I do to help provide a habitat for bees?
83_7	What is the cause of colony collapse disorder?
83_8	What would happen if the bees died out?
84_1	How does seed investment work for startups?
84_2	Tell me more about angel investment rounds.
84_3	How does an angel investment round compare with crowdfunding?
84_4	How much is a typical A series investment round?
84_5	What are the risks of investing in startups?
84_6	What are the different types of instruments used by Venture Capitalists?
85_1	How much does a Lamborghini cost?
85_2	How does a Lamborghini compare to a Ferrari?
85_3	Interesting. How much does a pimped-out food truck cost?
85_4	What licenses and permits are needed for a food truck?
85_5	What makes a good food truck location?
85_6	What is a typical day like running a food truck?
85_7	How can I run a successful food truck?
85_8	What are some good examples of successful food trucks to learn from?
85_9	Besides inventive flavors, what made Kogi successful?
86_1	What is the climate like in Utah?
86_2	How does the climate of Salt Lake City differ from Utah overall?
86_3	What is the main economic activity of Salt Lake City?
86_4	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?
86_5	What were important ski locations used in the 2002 olympic winter games?
86_6	What are the important non-ski events that happen in Salt Lake City?
86_7	What are some popular non-winter things to do in the Salt Lake City area?
87_1	What are the different types of orange trees?
87_2	How can you tell different types of orange trees apart?
87_3	What type of orange tree has thorns?
87_4	Where do orange trees originally come from?
87_5	Tell me about the Hamlin orange variety.
87_6	Why did the Hamlin orange replace the Parson Brown variety?
87_7	What are the different types of navel oranges?
87_8	Which type of navel orange is the most delicious?
87_9	How do cara cara oranges compare with blood oranges?
88_1	Can I have some information on the labor systems of the Ottoman Empire?
88_2	What was the role of slavery in the labor system of the Ottoman Empire?
88_3	How did the Ottoman Empire govern?
88_4	Why was the Ottoman Empire important?
88_5	What was the culture like in the Ottoman Empire?
88_6	What was the role of storytellers in the culture of the Ottoman Empire?
88_7	What were popular stories told by meddahs in the Ottoman Empire?
88_8	What was the importance of the confessional millet system to the Ottoman Empire?
88_9	Why did the British continue the confessional millet system from the Ottoman Empire?
88_10	What is the historical importance of the confessional millet system in the development of national identities?
89_1	What is the relationship between predator and prey?
89_2	What do predator plants eat?
89_3	What do Venus flytraps eat?
89_4	Where is the Venus flytrap native to?
89_5	How do Venus flytraps attract and catch their prey?
89_6	What other carnivorous plants are native to North and South Carolina?
89_7	How do populations of predators and prey relate?
89_8	Why would the roles of predator and prey reverse?
89_9	How do predators and prey influence biodiversity?
89_10	What are examples of apex predators?
89_11	Why would humans be considered apex predators?
90_1	Which is the biggest commercial plane?
90_2	What are the operational costs of the Airbus A380?
90_3	How does the Airbus A380 fuel consumption compare to its competitors?
90_4	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?
90_5	Why did the Airbus A380 stop being produced?
90_6	What was Boeing's response to compete with the Airbus A380?
90_7	What is the newest version of the Boeing 777 and what is better about it?
90_8	What are the differences between the Boeing 777X-8 and 777X-9?
91_1	What is the purpose of the General Data Protection Regulation (GDPR)?
91_2	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?
91_3	What are the privacy implications of social networks and cloud computing?
91_4	Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?
91_5	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?
91_6	OK. Tell me about the privacy issues in social networks.
91_7	What do users of social networks get in return for by giving up their privacy?
91_8	What are the symptoms of social network addiction?
92_1	Do shoulder braces help recover from an injury?
92_2	Tell me more about some shoulder exercises that could help recovery from an injury.
